City,Population,LiteracyRate,Graduates,Location
Puruliya ,121436,82.34,14793,"23.3320779,86.365208"
Rae Bareli ,191056,82.97,34959,"26.2345298,81.2408689"
Raichur ,232456,77.47,22445,"16.2120031,77.3439283"
Raiganj ,183682,81.66,16788,"25.6185295,88.1255837"
Raigarh ,137097,87.55,20161,"21.8974003,83.3949632"
Raipur ,1010087,86.9,147194,"21.2513844,81.6296413"
Rajahmundry ,343903,84.28,53604,"17.0005383,81.8040345"
Rajapalayam ,130119,86.25,11024,"9.4653377,77.5275463"
Rajarhat Gopalpur ,404991,90.91,73182,"22.6321975,88.4540911"
Rajkot ,1286995,88.82,148048,"22.3038945,70.8021599"
Rajnandgaon ,163122,87.95,19640,"21.0971034,81.0302222"
Rajpur Sonarpur ,423806,91.06,68707,"22.4490894,88.3914731"
Ramagundam ,229632,75.54,27209,"18.7595503,79.4816378"
Rampur ,325248,60.74,30319,"25.4842209,82.5916032"
Ranchi ,1073440,88.49,200849,"23.3440997,85.309562"
Ranibennur ,106365,89.98,9747,"14.6113428,75.6382657"
Raniganj ,128624,78.47,9719,"23.6290575,87.0923906"
Ratlam ,264810,87.88,36589,"23.3341696,75.0376325"
Raurkela Industrial Township ,210412,86.6,22887,"22.1993143,84.8620054"
Raurkela Town ,273217,87.95,38314,"22.260423,84.8535844"
Rewa ,235422,87.74,41109,"24.5372927,81.30418"
Rewari ,140864,88.25,22539,"28.1927631,76.6239423"
Rishra ,124585,88.89,14585,"22.7244023,88.3287896"
Robertson Pet ,146428,89.6,13400,"12.9551189,78.2698622"
Rohtak ,373133,84.08,65881,"28.8955152,76.606611"
Roorkee ,118188,90.7,30594,"29.8542626,77.8880002"
Rudrapur ,140884,73.21,14678,"28.9875082,79.4141214"
S.A.S. Nagar ,146104,93.22,57323,"30.6496486,76.7567368"
Sagar ,273357,90.23,39717,"23.838805,78.7378068"
Saharanpur ,703345,77.94,80749,"29.967079,77.5510172"
Saharsa ,155175,77.66,18307,"25.8834961,86.6006249"
Salem ,831038,84.8,93297,"11.664325,78.1460142"
Sambalpur ,183383,85.74,26095,"21.4668716,83.9811665"
Sambhal ,221334,49.51,10580,"28.5903614,78.5717631"
Sangli Miraj Kupwad ,502697,88.08,60752,"16.8541887,74.6049061"
Santipur ,151774,81.43,7213,"23.2645399,88.4380966"
Sasaram ,147396,82.31,18844,"24.949036,84.0314295"
Satara ,120079,92.91,22292,"17.6804639,74.018261"
Satna ,280248,86.33,37695,"24.6005075,80.8322428"
Sawai Madhopur ,120998,80.85,13480,"26.0377772,76.3521514"
Secunderabad ,213698,87.75,42492,"17.4399295,78.4982741"
Sehore ,108818,85.52,13887,"23.205012,77.0850781"
Seoni ,102377,91.16,16335,"22.0868691,79.5434841"
Serampore ,183339,89.99,30060,"22.748331,88.3385053"
Shahjahanpur ,327975,68.92,33510,"27.8295801,79.8296743"
Shamli ,107233,81.97,13343,"29.4507575,77.3152116"
Shikohabad ,107300,81.68,15351,"27.1061756,78.5881674"
Shillong ,143007,92.34,25113,"25.5714,91.8848"
Shimla ,169758,94.67,43353,"31.1048145,77.1734033"
Shimoga ,322428,88.02,37463,"13.9299299,75.568101"
Shivpuri ,179972,79.24,22320,"25.4357869,77.665066"
Sikar ,237579,77.13,20786,"27.6094,75.139911"
Silchar ,172709,91.74,22274,"24.8332708,92.7789054"
Siliguri ,509709,85.46,65003,"26.7271012,88.3952861"
Singrauli ,220295,77.35,18047,"24.1992101,82.6645469"
Sirsa ,183282,83.03,24453,"29.5335931,75.0177029"
Sitapur ,177351,83.11,28003,"27.5325072,80.8986502"
Siwan ,134458,84.65,14545,"26.2196205,84.3566593"
Solapur ,951118,83.88,88638,"17.6599188,75.9063906"
Sonipat ,277053,87.56,46858,"28.9287735,77.091281"
South Dum Dum ,410524,92.82,102942,"22.6059435,88.3967536"
